NAME,SAEPOVRTALL_RATE,Location,Latitude,Longitude
Crawford County,18,"35.576276,-94.315422",35.576276,-94.315422
Crittenden County,26.6,"35.302144,-90.374835",35.302144,-90.374835
Cross County,19.2,"35.2998913,-90.82940020000001",35.2998913,-90.82940020000001
Dallas County,21.5,"34.034653,-92.698387",34.034653,-92.698387
Desha County,27.6,"33.877359,-91.443469",33.877359,-91.443469
Drew County,22.6,"33.515646,-91.753882",33.515646,-91.753882
Faulkner County,14.7,"35.103586,-92.381362",35.103586,-92.381362
Franklin County,20.9,"35.592797,-93.824824",35.592797,-93.824824
Fulton County,21.4,"36.379737,-91.79284",36.379737,-91.79284
Garland County,20.9,"34.555929,-93.177966",34.555929,-93.177966
Grant County,11.5,"34.262802,-92.420871",34.262802,-92.420871
Greene County,17.4,"36.131493,-90.563609",36.131493,-90.563609
Hempstead County,24.7,"33.653011,-93.662324",33.653011,-93.662324
Hot Spring County,20.3,"34.33938,-92.977556",34.33938,-92.977556
Howard County,20.9,"34.131821,-94.028678",34.131821,-94.028678
Independence County,21.4,"35.817414,-91.598396",35.817414,-91.598396
Izard County,20.5,"36.161092,-91.909924",36.161092,-91.909924
Jackson County,23.9,"35.647957,-91.135302",35.647957,-91.135302
Jefferson County,24.3,"34.227351,-91.909924",34.227351,-91.909924
Johnson County,20.8,"35.602628,-93.500345",35.602628,-93.500345
Lafayette County,24.2,"33.25117,-93.62178",33.25117,-93.62178
Lawrence County,23,"35.996974,-91.135302",35.996974,-91.135302
Lee County,35.2,"34.771267,-90.8294",34.771267,-90.8294
Lincoln County,25.4,"33.918512,-91.714958",33.918512,-91.714958
Little River County,17.6,"33.680893,-94.19234",33.680893,-94.19234
Logan County,20,"35.247501,-93.662324",35.247501,-93.662324
Lonoke County,13.7,"34.759165,-91.909924",34.759165,-91.909924
Madison County,22.6,"35.946642,-93.662324",35.946642,-93.662324
Marion County,20.5,"36.31947,-92.698387",36.31947,-92.698387
Miller County,21.5,"33.333556,-93.86553",33.333556,-93.86553
Mississippi County,25.4,"35.827973,-90.074677",35.827973,-90.074677
Monroe County,31.6,"34.591875,-91.135302",34.591875,-91.135302
Montgomery County,21.9,"34.542407,-93.662324",34.542407,-93.662324
Nevada County,23.5,"33.662139,-93.338892",33.662139,-93.338892
Newton County,21.3,"35.960399,-93.177966",35.960399,-93.177966
Ouachita County,24.1,"33.582851,-92.937574",33.582851,-92.937574
Perry County,16.4,"34.96032,-92.897625",34.96032,-92.897625
Phillips County,34,"34.461121,-90.867513",34.461121,-90.867513
Pike County,20.5,"34.187698,-93.662324",34.187698,-93.662324
Poinsett County,25,"35.607859,-90.63937",35.607859,-90.63937
Polk County,22.1,"34.52681,-94.151376",34.52681,-94.151376
Pope County,22.1,"35.440627,-93.017571",35.440627,-93.017571
Prairie County,21.7,"34.763634,-91.598396",34.763634,-91.598396
Pulaski County,16.6,"34.753862,-92.223667",34.753862,-92.223667
Randolph County,23.4,"36.345792,-90.982067",36.345792,-90.982067
Saline County,10,"34.570822,-92.539603",34.570822,-92.539603
Scott County,22.3,"34.885473,-93.987843",34.885473,-93.987843
Searcy County,28.6,"35.9721,-92.698387",35.9721,-92.698387
Sebastian County,21.2,"35.22604,-94.315422",35.22604,-94.315422
Sevier County,21.7,"34.034622,-94.274363",34.034622,-94.274363
Sharp County,24.5,"36.167597,-91.443469",36.167597,-91.443469
St. Francis County,32.9,"34.992653,-90.715275",34.992653,-90.715275
Stone County,22.9,"35.807514,-92.223667",35.807514,-92.223667
Union County,21.5,"33.143109,-92.539603",33.143109,-92.539603
Van Buren County,22.1,"35.626623,-92.539603",35.626623,-92.539603
Washington County,20.1,"35.93077,-94.151376",35.93077,-94.151376
White County,18,"35.290061,-91.753882",35.290061,-91.753882
Woodruff County,27.3,"35.121585,-91.135302",35.121585,-91.135302
Yell County,19.5,"35.081082,-93.338892",35.081082,-93.338892
Alameda County,13.2,"37.601689,-121.719546",37.601689,-121.719546
Alpine County,17.4,"38.594074,-119.88152",38.594074,-119.88152
Amador County,14,"38.348892,-120.774093",38.348892,-120.774093
Butte County,22.6,"39.625395,-121.537",39.625395,-121.537
Calaveras County,12.5,"38.196048,-120.680504",38.196048,-120.680504
Colusa County,13.2,"39.104065,-122.265389",39.104065,-122.265389
Contra Costa County,11.9,"37.853409,-121.901795",37.853409,-121.901795
Del Norte County,25.4,"41.707629,-123.965971",41.707629,-123.965971
El Dorado County,10.3,"38.742638,-120.435763",38.742638,-120.435763
Fresno County,25.8,"36.985898,-119.232078",36.985898,-119.232078
Glenn County,19.2,"39.643781,-122.446724",39.643781,-122.446724
Humboldt County,21.1,"40.745006,-123.869509",40.745006,-123.869509
Imperial County,26,"33.011369,-115.473355",33.011369,-115.473355
Inyo County,12.7,"36.309187,-117.549585",36.309187,-117.549585
Kern County,24.6,"35.493727,-118.85968",35.493727,-118.85968
Kings County,21.2,"36.098849,-119.88152",36.098849,-119.88152
Lake County,23,"39.083964,-122.80845",39.083964,-122.80845
Lassen County,19.3,"40.539439,-120.712002",40.539439,-120.712002
Los Angeles County,18.4,"34.052227,-118.24366",34.052227,-118.24366
Madera County,23.6,"37.251926,-119.696268",37.251926,-119.696268
Marin County,9.4,"38.083403,-122.763304",38.083403,-122.763304
Mariposa County,15.7,"37.489363,-119.967929",37.489363,-119.967929
Mendocino County,20.2,"39.550019,-123.438353",39.550019,-123.438353
Merced County,26.8,"37.200979,-120.712002",37.200979,-120.712002
